,Ticker,Attribute,Recent
0,ABT,trailingPE,32.197567
1,ABBV,trailingPE,35.538822
2,ANF,trailingPE,56.771286
3,ACHC,trailingPE,24.456593
4,ATVI,trailingPE,33.545788
5,ADBE,trailingPE,48.605614
6,AMD,trailingPE,608.63885
7,AFL,trailingPE,10.966811
8,APD,trailingPE,29.346354
9,BABA,trailingPE,24.341085
10,GOOG,trailingPE,29.575172
11,AMZN,trailingPE,327.35025
12,AAL,trailingPE,6.1484375
13,AEO,trailingPE,26.780703
14,AEP,trailingPE,20.854546
15,AXP,trailingPE,16.62335
16,AWK,trailingPE,31.14066
17,AMGN,trailingPE,17.663723
18,AMN,trailingPE,10.67193
19,AAPL,trailingPE,30.102987
20,APTV,trailingPE,46.46875
21,ARCB,trailingPE,11.097251
22,ANET,trailingPE,37.282104
23,APAM,trailingPE,13.692029
24,ASGN,trailingPE,16.47604
25,ASH,trailingPE,20.240408
26,AZN,trailingPE,47.16225
27,AZO,trailingPE,19.445234
28,BIDU,trailingPE,26.473879
29,BAC,trailingPE,8.866379
30,BNS,trailingPE,9.216373
31,OZK,trailingPE,9.30837
32,BCS,trailingPE,4.5328746
33,BCE,trailingPE,19.844341
34,BECN,trailingPE,16.04054
35,BBY,trailingPE,13.362099
36,BHP,trailingPE,8.267733
37,BLK,trailingPE,20.147
38,BX,trailingPE,60.60241
39,BWA,trailingPE,10.252452
40,BYD,trailingPE,10.586614
41,BP,trailingPE,4.573961
42,BMY,trailingPE,17.596209
43,AVGO,trailingPE,26.667137
44,BAM,trailingPE,6.3182673
45,BBW,trailingPE,7.2908015
46,BURL,trailingPE,44.16845
47,CCJ,trailingPE,113.7
48,CPB,trailingPE,16.757633
49,GOOS,trailingPE,30.807693
50,CNI,trailingPE,19.507504
51,CNQ,trailingPE,9.5427685
52,CP,trailingPE,26.641914
53,CAR,trailingPE,4.0935397
54,KMX,trailingPE,28.800674
55,CASY,trailingPE,20.699413
56,CPRX,trailingPE,15.977955
57,CAT,trailingPE,21.072113
58,CNC,trailingPE,24.860376
59,CAKE,trailingPE,37.640625
60,CVX,trailingPE,8.64656
61,CAAS,trailingPE,5.4709578
62,CYD,trailingPE,15.837838
63,CMG,trailingPE,50.13935
64,CSCO,trailingPE,18.958782
65,C,trailingPE,7.0467515
66,CLW,trailingPE,11.334937
67,KO,trailingPE,26.995594
68,CTSH,trailingPE,15.495535
69,CL,trailingPE,40.01571
70,CMCSA,trailingPE,33.75746
71,CPG,trailingPE,11.605205
72,CTVA,trailingPE,31.476469
73,COST,trailingPE,41.50482
74,CVS,trailingPE,24.787376
75,DE,trailingPE,14.600538
76,DAL,trailingPE,9.630902
77,DB,trailingPE,3.9590843
78,DEO,trailingPE,21.347256
79,DLR,trailingPE,107.57727
80,DFS,trailingPE,7.277932
81,DG,trailingPE,15.737264
82,DLTR,trailingPE,23.898869
83,DOL,trailingPE,10.707772
84,D,trailingPE,34.357635
85,PLOW,trailingPE,25.747967
86,DBX,trailingPE,18.629251
87,EMN,trailingPE,14.837742
88,ENB,trailingPE,40.938206
89,ET,trailingPE,9.649254
90,EXR,trailingPE,20.462994
91,XOM,trailingPE,7.3937035
92,FICO,trailingPE,58.117428
93,FERG,trailingPE,17.714924
94,FE,trailingPE,50.830986
95,FMC,trailingPE,13.49675
96,FL,trailingPE,9.809885
97,F,trailingPE,17.369864
98,FTNT,trailingPE,50.118645
99,FTS,trailingPE,18.07982
100,BEN,trailingPE,16.870481
101,FCX,trailingPE,28.962585
102,FCN,trailingPE,28.588327
103,GRMN,trailingPE,20.746
104,GD,trailingPE,18.445448
105,GE,trailingPE,12.174604
106,GIS,trailingPE,16.646173
107,GM,trailingPE,5.608965
108,GMAB,trailingPE,30.459677
109,ROCK,trailingPE,25.812502
110,GILD,trailingPE,18.188913
111,GBCI,trailingPE,13.289157
112,GSK,trailingPE,10.821262
113,GMED,trailingPE,28.19598
114,GOGO,trailingPE,18.382353
115,GS,trailingPE,14.59475
116,GEG,trailingPE,3.763636
117,HRB,trailingPE,12.0
118,HOG,trailingPE,6.407207
119,HAS,trailingPE,76.19767
120,HTLD,trailingPE,9.353659
121,HES,trailingPE,23.748474
122,HIBB,trailingPE,4.514
123,HD,trailingPE,19.926962
124,HMC,trailingPE,11.793284
125,H,trailingPE,21.843102
126,IOSP,trailingPE,20.165703
127,ICE,trailingPE,44.115833
128,IHG,trailingPE,37.17476
129,IQV,trailingPE,38.991947
130,IRM,trailingPE,30.616161
131,JJSF,trailingPE,70.91458
132,JNJ,trailingPE,34.982758
133,JPM,trailingPE,9.871466
134,KALU,trailingPE,122.04032
135,K,trailingPE,26.328512
136,KDP,trailingPE,36.198925
137,KEY,trailingPE,7.775168
138,KMI,trailingPE,15.842341
139,LVS,trailingPE,813.0
140,LAZ,trailingPE,15.196346
141,LCII,trailingPE,15.497026
142,LMT,trailingPE,16.563646
143,L,trailingPE,14.131697
144,LOW,trailingPE,20.949236
145,LULU,trailingPE,50.53887
146,MTB,trailingPE,7.9515476
147,M,trailingPE,4.136483
148,MANH,trailingPE,87.09953
149,MAR,trailingPE,24.05751
150,MA,trailingPE,39.140717
151,MTCH,trailingPE,43.34466
152,MAT,trailingPE,29.930553
153,MKC,trailingPE,33.243244
154,MCD,trailingPE,30.96509
155,MCK,trailingPE,17.206152
156,MDC,trailingPE,7.58841
157,MRK,trailingPE,20.72754
158,MET,trailingPE,60.509617
159,MSFT,trailingPE,34.961
160,MSEX,trailingPE,39.47059
161,MNST,trailingPE,46.455284
162,MCO,trailingPE,45.020695
163,MS,trailingPE,15.3884
164,MOV,trailingPE,7.5524325
165,FIZZ,trailingPE,34.570515
166,NFG,trailingPE,8.83067
167,NWG,trailingPE,5.691589
168,NTES,trailingPE,22.807693
169,NFLX,trailingPE,50.135357
170,NXT,trailingPE,2130.5
171,NKE,trailingPE,33.549534
172,NTIC,trailingPE,36.72973
173,NOC,trailingPE,14.122489
174,NOV,trailingPE,24.327381
175,NVS,trailingPE,28.67361
176,NTR,trailingPE,5.28371
177,NVDA,trailingPE,223.26701
178,NXPI,trailingPE,20.54139
179,ONB,trailingPE,7.6477275
180,OKE,trailingPE,12.080979
181,OPY,trailingPE,12.43871
182,ORCL,trailingPE,36.772182
183,ORLY,trailingPE,26.837524
184,PCAR,trailingPE,12.296403
185,PZZA,trailingPE,34.980602
186,PYPL,trailingPE,26.825432
187,PEP,trailingPE,32.15822
188,PFE,trailingPE,7.06213
189,PCG,trailingPE,19.544945
190,PSX,trailingPE,4.380634
191,DOC,trailingPE,32.886364
192,PLNT,trailingPE,49.198387
193,PNC,trailingPE,8.751646
194,PKX,trailingPE,21.19165
195,TROW,trailingPE,18.498365
196,PG,trailingPE,27.315971
197,PRU,trailingPE,71.63909
198,PSA,trailingPE,12.104972
199,QCOM,trailingPE,12.474414
200,RTX,trailingPE,23.181818
201,RKT,trailingPE,6.3845725
202,REGN,trailingPE,21.473536
203,RF,trailingPE,8.759575
204,QSR,trailingPE,22.279818
205,RIO,trailingPE,8.358268
206,RBA,trailingPE,59.204082
207,RCI,trailingPE,18.70852
208,RY,trailingPE,12.332031
209,RGLD,trailingPE,31.254168
210,SGE,trailingPE,9.6692
211,CRM,trailingPE,554.56757
212,SAP,trailingPE,84.86798
213,SEIC,trailingPE,21.359861
214,SRE,trailingPE,18.60116
215,SIRI,trailingPE,16.758621
216,SJW,trailingPE,25.875
217,SKYW,trailingPE,66.84127
218,SWBI,trailingPE,16.093704
