Date,Regime
01-01-1959,Normal
02-01-1959,Normal
03-01-1959,Normal
04-01-1959,Normal
05-01-1959,Normal
06-01-1959,Normal
07-01-1959,Normal
08-01-1959,Normal
09-01-1959,Normal
10-01-1959,Normal
11-01-1959,Normal
12-01-1959,Normal
01-01-1960,Normal
02-01-1960,Normal
03-01-1960,Normal
04-01-1960,Recession
05-01-1960,Recession
06-01-1960,Recession
07-01-1960,Recession
08-01-1960,Recession
09-01-1960,Recession
10-01-1960,Recession
11-01-1960,Recession
12-01-1960,Recession
01-01-1961,Recession
02-01-1961,Normal
03-01-1961,Normal
04-01-1961,Normal
05-01-1961,Normal
06-01-1961,Normal
07-01-1961,Normal
08-01-1961,Normal
09-01-1961,Normal
10-01-1961,Normal
11-01-1961,Normal
12-01-1961,Normal
01-01-1962,Normal
02-01-1962,Normal
03-01-1962,Normal
04-01-1962,Normal
05-01-1962,Normal
06-01-1962,Normal
07-01-1962,Normal
08-01-1962,Normal
09-01-1962,Normal
10-01-1962,Normal
11-01-1962,Normal
12-01-1962,Normal
01-01-1963,Normal
02-01-1963,Normal
03-01-1963,Normal
04-01-1963,Normal
05-01-1963,Normal
06-01-1963,Normal
07-01-1963,Normal
08-01-1963,Normal
09-01-1963,Normal
10-01-1963,Normal
11-01-1963,Normal
12-01-1963,Normal
01-01-1964,Normal
02-01-1964,Normal
03-01-1964,Normal
04-01-1964,Normal
05-01-1964,Normal
06-01-1964,Normal
07-01-1964,Normal
08-01-1964,Normal
09-01-1964,Normal
10-01-1964,Normal
11-01-1964,Normal
12-01-1964,Normal
01-01-1965,Normal
02-01-1965,Normal
03-01-1965,Normal
04-01-1965,Normal
05-01-1965,Normal
06-01-1965,Normal
07-01-1965,Normal
08-01-1965,Normal
09-01-1965,Normal
10-01-1965,Normal
11-01-1965,Normal
12-01-1965,Normal
01-01-1966,Normal
02-01-1966,Normal
03-01-1966,Normal
04-01-1966,Normal
05-01-1966,Normal
06-01-1966,Normal
07-01-1966,Normal
08-01-1966,Normal
09-01-1966,Normal
10-01-1966,Normal
11-01-1966,Normal
12-01-1966,Normal
01-01-1967,Normal
02-01-1967,Normal
03-01-1967,Normal
04-01-1967,Normal
05-01-1967,Normal
06-01-1967,Normal
07-01-1967,Normal
08-01-1967,Normal
09-01-1967,Normal
10-01-1967,Normal
11-01-1967,Normal
12-01-1967,Normal
01-01-1968,Normal
02-01-1968,Normal
03-01-1968,Normal
04-01-1968,Normal
05-01-1968,Normal
06-01-1968,Normal
07-01-1968,Normal
08-01-1968,Normal
09-01-1968,Normal
10-01-1968,Normal
11-01-1968,Normal
12-01-1968,Normal
01-01-1969,Normal
02-01-1969,Normal
03-01-1969,Normal
04-01-1969,Normal
05-01-1969,Normal
06-01-1969,Normal
07-01-1969,Normal
08-01-1969,Normal
09-01-1969,Normal
10-01-1969,Normal
11-01-1969,Normal
12-01-1969,Recession
01-01-1970,Recession
02-01-1970,Recession
03-01-1970,Recession
04-01-1970,Recession
05-01-1970,Recession
06-01-1970,Recession
07-01-1970,Recession
08-01-1970,Recession
09-01-1970,Recession
10-01-1970,Recession
11-01-1970,Normal
12-01-1970,Normal
01-01-1971,Normal
02-01-1971,Normal
03-01-1971,Normal
04-01-1971,Normal
05-01-1971,Normal
06-01-1971,Normal
07-01-1971,Normal
08-01-1971,Normal
09-01-1971,Normal
10-01-1971,Normal
11-01-1971,Normal
12-01-1971,Normal
01-01-1972,Normal
02-01-1972,Normal
03-01-1972,Normal
04-01-1972,Normal
05-01-1972,Normal
06-01-1972,Normal
07-01-1972,Normal
08-01-1972,Normal
09-01-1972,Normal
10-01-1972,Normal
11-01-1972,Normal
12-01-1972,Normal
01-01-1973,Normal
02-01-1973,Normal
03-01-1973,Normal
04-01-1973,Normal
05-01-1973,Normal
06-01-1973,Normal
07-01-1973,Normal
08-01-1973,Normal
09-01-1973,Normal
10-01-1973,Normal
11-01-1973,Recession
12-01-1973,Recession
01-01-1974,Recession
02-01-1974,Recession
03-01-1974,Recession
04-01-1974,Recession
05-01-1974,Recession
06-01-1974,Recession
07-01-1974,Recession
08-01-1974,Recession
09-01-1974,Recession
10-01-1974,Recession
11-01-1974,Recession
12-01-1974,Recession
01-01-1975,Recession
02-01-1975,Recession
03-01-1975,Normal
04-01-1975,Normal
05-01-1975,Normal
06-01-1975,Normal
07-01-1975,Normal
08-01-1975,Normal
