DateTime,Dividend Yield
1871-01-31 00:00:10,5.86
1871-02-28 00:00:10,5.78
1871-03-31 00:00:10,5.64
1871-04-30 00:00:10,5.49
1871-05-31 00:00:10,5.35
1871-06-30 00:00:10,5.39
1871-07-31 00:00:10,5.50
1871-08-31 00:00:10,5.43
1871-09-30 00:00:10,5.37
1871-10-31 00:00:10,5.66
1871-11-30 00:00:10,5.60
1871-12-31 00:00:10,5.49
1872-01-31 00:00:10,5.42
1872-02-29 00:00:10,5.47
1872-03-31 00:00:10,5.36
1872-04-30 00:00:10,5.28
1872-05-31 00:00:10,5.34
1872-06-30 00:00:10,5.46
1872-07-31 00:00:10,5.55
1872-08-31 00:00:10,5.69
1872-09-30 00:00:10,5.86
1872-10-31 00:00:10,5.90
1872-11-30 00:00:10,5.99
1872-12-31 00:00:10,5.92
1873-01-31 00:00:10,5.92
1873-02-28 00:00:10,5.92
1873-03-31 00:00:10,6.02
1873-04-30 00:00:10,6.15
1873-05-31 00:00:10,6.19
1873-06-30 00:00:10,6.33
1873-07-31 00:00:10,6.39
1873-08-31 00:00:10,6.44
1873-09-30 00:00:10,7.03
1873-10-31 00:00:10,7.76
1873-11-30 00:00:10,8.11
1873-12-31 00:00:10,7.47
1874-01-31 00:00:10,7.08
1874-02-28 00:00:10,6.88
1874-03-31 00:00:10,6.98
1874-04-30 00:00:10,7.17
1874-05-31 00:00:10,7.37
1874-06-30 00:00:10,7.40
1874-07-31 00:00:10,7.40
1874-08-31 00:00:10,7.38
1874-09-30 00:00:10,7.27
1874-10-31 00:00:10,7.28
1874-11-30 00:00:10,7.22
1874-12-31 00:00:10,7.27
1875-01-31 00:00:10,7.21
1875-02-28 00:00:10,7.17
1875-03-31 00:00:10,7.03
1875-04-30 00:00:10,6.88
1875-05-31 00:00:10,7.10
1875-06-30 00:00:10,7.19
1875-07-31 00:00:10,7.12
1875-08-31 00:00:10,7.03
1875-09-30 00:00:10,7.04
1875-10-31 00:00:10,7.09
1875-11-30 00:00:10,6.92
1875-12-31 00:00:10,6.86
1876-01-31 00:00:10,6.73
1876-02-29 00:00:10,6.64
1876-03-31 00:00:10,6.65
1876-04-30 00:00:10,6.91
1876-05-31 00:00:10,7.18
1876-06-30 00:00:10,7.23
1876-07-31 00:00:10,7.32
1876-08-31 00:00:10,7.63
1876-09-30 00:00:10,8.13
1876-10-31 00:00:10,8.17
1876-11-30 00:00:10,8.33
1876-12-31 00:00:10,8.38
1877-01-31 00:00:10,8.19
1877-02-28 00:00:10,8.43
1877-03-31 00:00:10,8.60
1877-04-30 00:00:10,8.96
1877-05-31 00:00:10,8.65
1877-06-30 00:00:10,8.97
1877-07-31 00:00:10,8.27
1877-08-31 00:00:10,7.43
1877-09-30 00:00:10,6.71
1877-10-31 00:00:10,6.29
1877-11-30 00:00:10,6.11
1877-12-31 00:00:10,5.85
1878-01-31 00:00:10,5.82
1878-02-28 00:00:10,5.92
1878-03-31 00:00:10,5.79
1878-04-30 00:00:10,5.61
1878-05-31 00:00:10,5.56
1878-06-30 00:00:10,5.43
1878-07-31 00:00:10,5.29
1878-08-31 00:00:10,5.31
1878-09-30 00:00:10,5.18
1878-10-31 00:00:10,5.22
1878-11-30 00:00:10,5.21
1878-12-31 00:00:10,5.22
1879-01-31 00:00:10,5.08
1879-02-28 00:00:10,4.94
1879-03-31 00:00:10,5.07
1879-04-30 00:00:10,4.95
1879-05-31 00:00:10,4.78
1879-06-30 00:00:10,4.80
1879-07-31 00:00:10,4.75
1879-08-31 00:00:10,4.75
1879-09-30 00:00:10,4.62
1879-10-31 00:00:10,4.20
1879-11-30 00:00:10,4.02
1879-12-31 00:00:10,4.07
1880-01-31 00:00:10,4.01
1880-02-29 00:00:10,4.04
1880-03-31 00:00:10,4.06
1880-04-30 00:00:10,4.25
1880-05-31 00:00:10,4.72
1880-06-30 00:00:10,4.80
1880-07-31 00:00:10,4.69
1880-08-31 00:00:10,4.62
1880-09-30 00:00:10,4.73
1880-10-31 00:00:10,4.69
1880-11-30 00:00:10,4.55
1880-12-31 00:00:10,4.45
1881-01-31 00:00:10,4.28
1881-02-28 00:00:10,4.38
1881-03-31 00:00:10,4.41
1881-04-30 00:00:10,4.50
1881-05-31 00:00:10,4.38
1881-06-30 00:00:10,4.41
1881-07-31 00:00:10,4.65
1881-08-31 00:00:10,4.84
1881-09-30 00:00:10,4.88
1881-10-31 00:00:10,5.04
1881-11-30 00:00:10,5.09
1881-12-31 00:00:10,5.32
1882-01-31 00:00:10,5.41
1882-02-28 00:00:10,5.53
1882-03-31 00:00:10,5.54
1882-04-30 00:00:10,5.54
1882-05-31 00:00:10,5.60
1882-06-30 00:00:10,5.63
1882-07-31 00:00:10,5.33
1882-08-31 00:00:10,5.18
1882-09-30 00:00:10,5.13
1882-10-31 00:00:10,5.27
1882-11-30 00:00:10,5.51
1882-12-31 00:00:10,5.48
1883-01-31 00:00:10,5.52
1883-02-28 00:00:10,5.66
1883-03-31 00:00:10,5.61
1883-04-30 00:00:10,5.51
1883-05-31 00:00:10,5.62
1883-06-30 00:00:10,5.58
1883-07-31 00:00:10,5.69
1883-08-31 00:00:10,5.97
1883-09-30 00:00:10,5.92
1883-10-31 00:00:10,6.10
1883-11-30 00:00:10,6.03
1883-12-31 00:00:10,6.18
1884-01-31 00:00:10,6.34
1884-02-29 00:00:10,6.14
1884-03-31 00:00:10,6.13
1884-04-30 00:00:10,6.39
1884-05-31 00:00:10,6.92
1884-06-30 00:00:10,7.17
1884-07-31 00:00:10,7.14
1884-08-31 00:00:10,6.68
1884-09-30 00:00:10,6.86
1884-10-31 00:00:10,7.06
1884-11-30 00:00:10,7.17
1884-12-31 00:00:10,7.14
1885-01-31 00:00:10,7.17
1885-02-28 00:00:10,6.83
1885-03-31 00:00:10,6.68
1885-04-30 00:00:10,6.56
1885-05-31 00:00:10,6.50
1885-06-30 00:00:10,6.40
1885-07-31 00:00:10,6.04
1885-08-31 00:00:10,5.59
1885-09-30 00:00:10,5.54
1885-10-31 00:00:10,5.12
1885-11-30 00:00:10,4.69
1885-12-31 00:00:10,4.62
1886-01-31 00:00:10,4.58
1886-02-28 00:00:10,4.47
1886-03-31 00:00:10,4.53
1886-04-30 00:00:10,4.56
