date, value
01-12-1927,15.9099
01-01-1928,14.8898
01-02-1928,14.6271
01-03-1928,16.339
01-04-1928,15.8
01-05-1928,16
01-06-1928,15.312
01-07-1928,14.8321
01-08-1928,15.9313
01-09-1928,16.1374
01-10-1928,15.7101
01-11-1928,17.5942
01-12-1928,17.6449
01-01-1929,17.875
01-02-1929,17.7708
01-03-1929,17.7292
01-04-1929,17.2933
01-05-1929,16.5533
01-06-1929,18.2733
01-07-1929,18.6323
01-08-1929,20.4581
01-09-1929,19.4581
01-10-1929,15
01-11-1929,12.9938
01-12-1929,13.323
01-01-1930,15.7172
01-02-1930,16.0552
01-03-1930,16.6552
01-04-1930,19.3023
01-05-1930,18.9845
01-06-1930,15.8605
01-07-1930,18.7699
01-08-1930,18.9115
01-09-1930,16.4513
01-10-1930,17.4639
01-11-1930,17.0825
01-12-1930,15.8144
01-01-1931,18.2841
01-02-1931,20.375
01-03-1931,18.9659
01-04-1931,19.1013
01-05-1931,16.481
01-06-1931,18.7722
01-07-1931,19.6143
01-08-1931,19.8
01-09-1931,13.8714
01-10-1931,17.2623
01-11-1931,15.5738
01-12-1931,13.3115
01-01-1932,14.0893
01-02-1932,14.8036
01-03-1932,13.0536
01-04-1932,11.4314
01-05-1932,8.7647
01-06-1932,8.6863
01-07-1932,13.2609
01-08-1932,18.2391
01-09-1932,17.5652
01-10-1932,16.9756
01-11-1932,15.9756
01-12-1932,16.8049
01-01-1933,16.5238
01-02-1933,13.4762
01-03-1933,13.9286
01-04-1933,19.3488
01-05-1933,22.4186
01-06-1933,25.3721
01-07-1933,23.1395
01-08-1933,25.7907
01-09-1933,22.8605
01-10-1933,20.3636
01-11-1933,22.4545
01-12-1933,22.9545
01-01-1934,24.8222
01-02-1934,23.9111
01-03-1934,23.8889
01-04-1934,22.2553
01-05-1934,20.4468
01-06-1934,20.8723
01-07-1934,18.0833
01-08-1934,19.0625
01-09-1934,18.9583
01-10-1934,17.9796
01-11-1934,19.4694
01-12-1934,19.3878
01-01-1935,12.4658
01-02-1935,11.9726
01-03-1935,11.6027
01-04-1935,11.4568
01-05-1935,11.8272
01-06-1935,12.6296
01-07-1935,14.5789
01-08-1935,14.8947
01-09-1935,15.25
01-10-1935,16.3947
01-11-1935,17.0395
01-12-1935,17.6711
01-01-1936,18.1139
01-02-1936,18.4177
01-03-1936,18.8861
01-04-1936,15.6477
01-05-1936,16.3636
01-06-1936,16.8636
01-07-1936,16.8617
01-08-1936,17.0106
01-09-1936,17.0319
01-10-1936,16.8725
01-11-1936,16.9412
01-12-1936,16.8431
01-01-1937,16.0631
01-02-1937,16.2973
01-03-1937,16.1441
01-04-1937,14.0427
01-05-1937,13.8974
01-06-1937,13.1624
01-07-1937,13.918
01-08-1937,13.1475
01-09-1937,11.2787
01-10-1937,10.9381
01-11-1937,9.8319
01-12-1937,9.3363
01-01-1938,11.0206
01-02-1938,11.6907
01-03-1938,8.7629
01-04-1938,12.5974
01-05-1938,12.039
01-06-1938,15.013
01-07-1938,20
01-08-1938,19.4516
01-09-1938,19.7419
01-10-1938,20.5781
01-11-1938,19.8906
01-12-1938,20.6406
01-01-1939,17.3239
01-02-1939,17.8873
01-03-1939,15.4648
01-04-1939,14.3684
01-05-1939,15.2632
01-06-1939,14.2895
01-07-1939,14.8642
01-08-1939,13.8025
01-09-1939,16.0741
01-10-1939,14.2556
01-11-1939,13.5556
01-12-1939,13.8778
01-01-1940,12.1717
01-02-1940,12.2525
01-03-1940,12.3737
01-04-1940,11.7212
01-05-1940,8.9135
01-06-1940,9.5962
01-07-1940,9.5278
01-08-1940,9.7778
01-09-1940,9.8704
01-10-1940,10.5524
01-11-1940,10.1048
01-12-1940,10.0762
01-01-1941,9.5
01-02-1941,9.3585
01-03-1941,9.3962
01-04-1941,8.5413
01-05-1941,8.578
01-06-1941,9.0367
01-07-1941,8.7311
01-08-1941,8.6555
01-09-1941,8.5714
01-10-1941,8.1897
01-11-1941,7.8448
01-12-1941,7.4914
01-01-1942,8.4712
01-02-1942,8.2596
01-03-1942,7.7019
01-04-1942,7.8163
01-05-1942,8.3163
01-06-1942,8.4694
01-07-1942,9.1064
01-08-1942,9.1702
01-09-1942,9.4149
01-10-1942,9.1456
01-11-1942,9.0194
01-12-1942,9.4854
