prediction;test_price
28.52;28.78
28.89;28.81
29.1;28.14
29.04;28.2
28.67;28.74
28.59;29.0
28.77;28.63
29.04;28.29
29.0;28.28
28.88;28.16
28.79;27.78
28.76;27.72
28.42;27.16
28.28;27.18
27.86;26.64
27.65;26.31
27.28;26.76
26.77;26.45
27.0;26.48
27.02;26.04
26.97;26.02
26.89;25.1
26.65;24.87
25.98;24.53
25.63;24.88
25.19;25.5
25.36;25.02
25.7;25.62
25.43;25.12
25.8;25.66
25.71;26.03
25.99;26.75
26.18;26.96
26.86;26.23
27.13;27.48
26.81;27.67
27.34;28.02
27.52;27.85
27.9;27.94
28.01;28.6
28.17;28.19
28.55;28.34
28.4;28.08
28.46;28.42
28.34;28.15
28.57;28.41
28.49;28.69
28.43;28.69
28.56;28.88
28.7;28.39
28.89;28.27
28.85;28.27
28.78;27.8
28.81;27.6
28.43;27.26
28.23;26.83
27.94;26.57
27.48;27.21
27.08;27.4
27.23;27.33
27.57;26.85
27.7;26.57
27.28;27.67
27.0;27.25
27.64;27.83
27.54;27.95
28.0;27.99
28.08;27.71
28.05;27.37
27.95;27.04
27.54;27.37
27.27;27.84
27.45;27.53
27.76;27.51
27.68;27.25
27.69;27.5
27.62;27.1
27.78;26.91
27.51;27.35
27.38;26.33
27.56;26.21
27.0;26.11
26.85;26.45
26.77;26.85
26.82;27.33
27.13;27.44
27.84;27.3
28.07;27.6
28.12;27.86
28.15;28.23
28.33;28.29
28.57;28.58
28.57;28.29
28.87;29.05
28.8;29.22
29.08;29.04
29.4;29.42
29.33;30.27
29.61;30.15
30.31;29.92
30.29;30.33
30.18;29.95
30.23;30.36
30.03;30.52
30.27;30.45
30.41;30.29
30.56;29.74
30.29;29.36
29.99;29.32
29.54;28.99
29.42;29.35
29.36;29.54
29.4;29.49
29.68;29.31
29.69;29.05
29.57;28.95
29.38;29.97
29.37;30.09
29.94;28.8
30.26;28.95
29.71;29.51
29.4;29.02
29.69;29.0
29.58;29.6
29.5;29.36
29.96;28.88
29.9;28.74
29.54;28.69
29.24;27.86
29.09;28.26
28.57;28.11
28.7;28.34
28.66;27.51
28.87;27.54
28.24;27.22
28.14;27.09
27.96;26.79
27.59;26.96
27.52;26.24
27.46;26.13
26.92;25.77
26.59;25.82
26.18;25.47
26.14;25.39
25.94;25.67
26.06;26.55
26.03;27.22
26.68;26.96
27.3;26.6
27.34;26.53
27.04;27.17
26.9;27.06
27.32;27.13
27.17;26.61
27.35;26.97
27.08;27.63
27.11;26.48
27.59;26.24
27.02;26.49
26.85;27.31
26.77;27.41
27.47;26.97
27.58;27.94
27.35;28.61
27.91;28.06
28.41;27.69
28.31;28.2
27.99;28.35
28.32;27.99
28.45;27.7
28.29;27.76
28.19;27.77
28.0;28.09
28.09;27.57
28.15;27.66
27.91;27.71
27.89;28.43
27.89;28.22
28.46;28.3
28.49;28.36
28.51;27.51
28.57;27.36
27.97;28.72
27.68;28.29
28.58;28.59
28.61;28.74
28.95;29.01
29.02;28.23
29.19;28.36
28.76;28.08
28.47;29.17
28.4;30.0
29.07;28.71
29.8;28.38
29.17;27.72
28.72;28.33
28.22;28.57
28.54;25.94
29.06;26.77
27.25;26.76
27.32;26.14
27.08;25.77
26.72;24.65
26.35;23.18
25.4;22.4
24.3;20.76
23.4;20.1
22.1;23.31
21.07;22.4
22.91;20.39
23.25;21.17
21.88;21.59
21.9;23.16
22.15;22.08
23.17;20.11
22.87;20.41
21.76;19.72
21.26;18.64
20.62;20.86
19.76;20.91
20.78;22.1
21.17;22.6
22.0;21.84
22.76;22.7
22.49;21.14
22.87;19.9
21.92;20.38
20.93;19.26
20.93;19.0
20.19;17.59
19.81;18.89
18.68;18.39
19.23;17.22
19.14;18.03
18.43;17.4
18.72;16.34
18.53;18.42
17.94;19.37
18.79;19.22
19.65;19.63
19.75;19.65
20.26;17.74
20.44;18.72
19.15;19.14
19.45;19.01
19.64;19.86
19.79;21.74
20.42;20.53
21.95;20.68
21.43;20.21
21.18;20.02
20.71;20.16
20.39;21.06
20.53;20.88
21.11;20.21
21.32;19.86
20.63;19.42
20.38;19.35
20.36;19.47
20.2;19.64
20.35;19.01
20.02;19.9
19.62;20.09
20.04;21.18
20.32;20.81
21.18;21.53
21.1;20.52
