prediction;test_price
38.91;39.14
38.81;39.0
38.93;39.25
38.91;39.97
39.36;40.12
39.28;39.94
39.26;38.99
39.23;39.06
39.07;39.04
39.39;39.28
39.22;39.1
39.5;39.35
39.5;40.76
39.57;41.68
39.66;42.26
39.74;41.72
39.91;42.03
40.09;43.12
40.27;43.56
40.53;43.7
41.03;44.06
41.12;43.97
41.4;43.67
41.51;43.49
41.78;42.83
41.88;42.27
41.68;42.78
41.93;42.54
41.85;42.49
42.31;43.28
42.61;43.74
42.87;43.74
42.76;43.52
42.63;43.27
42.89;42.37
42.8;42.96
42.79;42.76
42.74;42.45
42.69;42.41
42.89;42.25
42.95;42.33
43.22;42.34
43.11;43.17
43.27;42.92
43.54;43.07
43.52;43.06
43.46;43.49
43.33;44.1
43.28;43.63
43.14;43.59
43.08;43.75
42.97;43.75
42.98;42.64
42.95;42.65
42.94;42.77
43.05;42.31
43.02;43.06
42.73;43.06
43.01;43.26
42.97;43.75
43.21;43.59
43.36;43.58
43.75;43.57
43.52;43.82
43.52;44.27
43.81;44.05
43.62;44.78
43.76;44.81
43.79;44.62
44.2;44.25
44.3;44.26
44.24;43.56
44.18;42.78
44.21;42.88
44.4;41.99
44.29;41.74
44.22;41.86
44.08;41.94
44.14;40.12
44.18;39.12
43.69;40.76
43.71;39.88
43.31;38.79
43.55;39.1
43.09;40.68
42.58;41.08
42.58;41.84
42.57;43.25
42.85;43.11
42.77;42.96
42.86;42.77
42.67;43.12
42.53;43.88
42.55;44.74
42.7;44.6
42.64;44.53
42.55;43.75
42.39;44.05
42.43;44.21
42.44;44.17
42.81;43.76
42.89;44.24
42.63;44.99
42.81;45.43
43.24;44.99
43.35;44.61
43.25;44.66
43.52;44.51
43.67;43.83
44.0;43.81
43.79;42.82
43.72;42.21
43.78;41.24
43.85;43.19
43.99;42.08
43.74;41.62
43.96;41.94
43.64;41.67
43.26;42.1
43.46;42.9
43.71;43.2
43.78;42.1
43.69;42.51
43.33;43.31
43.25;43.11
43.28;43.53
43.65;43.68
43.6;43.96
43.55;44.56
43.39;44.46
43.93;43.2
43.91;41.43
43.8;41.31
43.67;40.74
43.7;40.91
43.7;41.06
43.55;40.58
43.51;41.31
43.28;42.28
42.99;44.14
42.97;44.22
43.09;45.96
43.48;46.29
43.22;46.51
43.12;46.84
43.27;47.51
43.39;47.15
43.67;47.04
43.99;46.61
44.61;47.04
44.73;46.75
45.27;46.58
45.93;46.91
46.33;46.79
46.28;47.09
46.6;47.04
46.79;47.15
46.62;46.97
46.65;46.88
46.72;46.72
46.53;47.56
46.41;47.96
46.45;48.33
46.97;48.49
47.32;48.37
47.34;47.92
47.45;47.81
47.69;48.07
48.22;47.67
48.21;47.7
48.08;47.21
47.97;47.19
47.74;46.42
47.66;46.62
47.38;46.37
47.22;46.23
47.19;45.54
47.36;46.11
47.31;46.04
47.14;46.38
47.14;46.28
47.08;46.79
47.02;45.98
46.84;46.35
46.84;46.99
46.8;47.65
46.97;47.59
47.27;46.97
47.36;47.76
47.51;47.83
